time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-02-28T02:22:46.100Z,33.4902,-116.5042,14.9,1.3,Ml,,46.8,0.07186522,0.12,ci,ci11249930,2013-02-28T23:58:05.391Z,"17km ESE of Anza, California",earthquake
2013-02-28T02:20:15.800Z,38.8132,-122.815,3.2,1.1,Md,,46.8,0.00898315,0.07,nc,nc71945415,2013-03-06T23:19:24.445Z,"8km W of Cobb, California",earthquake
2013-02-28T02:05:48.000Z,66.1932,-142.3494,15.8,1.5,Ml,9,118.8,1.21182732,0.53,ak,ak10665591,2013-03-02T00:32:46.667Z,"87km ENE of Circle, ",earthquake
2013-02-28T02:02:42.900Z,36.9477,-121.426,7.5,1.1,Md,,46.8,0.03593261,0.07,nc,nc71945410,2013-02-28T02:16:37.971Z,"10km NNW of Hollister, California",earthquake
2013-02-28T01:46:36.200Z,37.4945,-121.8088,8.4,1,Md,,79.2,0.04491576,0.04,nc,nc71945400,2013-02-28T02:22:38.701Z,"11km NE of Milpitas, California",earthquake
2013-02-28T01:14:59.800Z,35.3822,-118.4875,4.4,1.5,Ml,,82.8,0.10779783,0.12,ci,ci11249922,2013-02-28T23:33:04.930Z,"22km S of Bodfish, California",earthquake
2013-02-28T01:12:40.900Z,32.3525,-115.37,15.4,2.2,Ml,,216,0.08983153,0.24,ci,ci11249914,2013-02-28T23:26:41.586Z,"16km W of Delta, Mexico",earthquake
2013-02-28T00:44:18.500Z,46.6473,-120.498,0,1.7,Md,,100.8,0.12576414,0.21,uw,uw60507896,2013-02-28T19:02:48.555Z,"2km ESE of Selah, Washington",quarry
2013-02-28T00:33:14.600Z,67.554,142.258,10,4.7,Mb,161,32.4,6.2828171,1.07,us,usc000fe7t,2013-06-10T21:21:41.808Z,"148km WSW of Druzhina, Russia",earthquake
2013-02-28T00:31:23.300Z,35.0437,-117.6723,0,1.7,Ml,,72,0.10779783,0.14,ci,ci11249898,2013-02-28T22:53:12.513Z,"1km NNE of Quarry at BORON",quarry
2013-02-28T00:30:01.000Z,63.1287,-150.7173,126.3,1.4,Ml,13,93.6,0.37459747,0.27,ak,ak10665590,2013-03-02T00:32:46.654Z,"93km WSW of Cantwell, Alaska",earthquake
2013-02-28T00:13:48.200Z,32.6122,-116.9753,0,1.6,Ml,,126,0.03593261,0.19,ci,ci11249890,2013-02-28T22:36:20.466Z,"0km WNW of Quarry at SYS-1",quarry
